"_MARR_FATH";"נישואי אב"
"_DEAT_FATH";"פטירת אב"
"_MARR_MOTH";"נישואי אם"
"_DEAT_MOTH";"פטירת אם"
"_BIRT_SIBL";"לידת אח או אחות"
"_MARR_SIBL";"נישואי אח/ות"
"_DEAT_SIBL";"פטירת אח או אחות"
"_BIRT_HSIB";"לידת אח/ות למחצה"
"_MARR_HSIB";"נישואי אח/ות למחצה"
"_DEAT_HSIB";"פטירת אח/ות למחצה"
"_DEAT_GPAR";"פטירת סבא או סבתא"
"_BIRT_FSIB";"לידת אח או אחות האב"
"_MARR_FSIB";"נישואי אח/ות של האב"
"_DEAT_FSIB";"פטירת אח או אחות האב"
"_BIRT_MSIB";"לידת אח או אחות האם"
"_MARR_MSIB";"נישואי אח/ות של האם"
"_DEAT_MSIB";"פטירת אח או אחות האם"
"_BIRT_COUS";"לידת בן דוד מדרגה ראשונה"
"_MARR_COUS";"נישואי בן דוד מדרגה ראשונה"
"_DEAT_COUS";"פטירת בן דוד מדרגה ראשונה"
"_THUM";"השתמש בתמונה זו כתמונה ממוזערת?"
"_GMU";"השינוי האחרון ע\"י"
"SERV";"שרת מרוחק"
"_GEDF";"קובץ GEDCOM"
